plant_id,nom_commun,profil_aromatique,astuce_chef_bloom
"romarin_culinaire","Romarin à Cinéole","Boisé, camphré, notes d'eucalyptus","Ne cuisinez JAMAIS avec cette huile. Versez-la EN FINITION, une fois le plat dans l'assiette. La chaleur de l'aliment suffira à libérer les arômes sans brûler le cinéole."
"thym_culinaire","Thym commun","Herbacé, poivré, légèrement camphré","Filtrez TRÈS finement avec le sac filtre fournit, la préparation encore tiède. Pressez fermement le marc."
"basilic_culinaire","Basilic grand vert","Anisé, poivré, frais, très volatil","Le basilic est ultra-thermolabile. Ne dépassez JAMAIS 40°C dans la BloomLab. L'huile de pépins de raisin est idéale car elle ne masque pas l'arôme subtil du basilic."
"origan_culinaire","Origan compact","Intense, camphré, chaud","L' 'Huile de Pizza Bloom' : origan + thym + basilic extraits à 45°C dans l'huile d'olive. Versez sur la pizza APRÈS cuisson. L'arôme est décuplé."
"laurier_culinaire","Laurier sauce","Boisé, floral, légèrement amer","Le laurier est une plante dure. L'extraction à 50°C pendant 2h dans l'huile permet de capturer les notes florales sans l'amertume excessive de l'ébullition."
"sauge_culinaire","Sauge officinale","Camphré, eucalyptus, légèrement amer","Le 'Beurre de Sauge Bloom' : extraction dans le ghee à 45°C. Faites mousser ce beurre dans une poêle chaude et nappez vos gnocchis. Un régal."
"menthe_culinaire","Menthe poivrée","Frais, mentholé, très volatil","La menthe perd 80% de son menthol à l'air libre. L'extraction en milieu fermé (BloomLab) à 40°C capture 100% de la fraîcheur."
"estragon_culinaire","Estragon","Anisé, réglissé, délicat","Le 'Vinaigre à l'Estragon Bloom' : remplace le vinaigre du commerce pour vos béarnaises. La différence de fraîcheur est sidérante."
"gingembre_culinaire","Gingembre","Piquant, citronné, chaud","Le 'Shot Immunité Bloom' : extrait glycériné de gingembre (fait en BloomLab) + citron pressé + pincée de Cayenne. 30ml le matin."
"curcuma_culinaire","Curcuma","Terreux, poivré, légèrement amer","Règle d'or Bloom : Curcuma + Poivre + Gras. L'extraction dans le ghee à 50°C avec une pincée de poivre garantit une biodisponibilité maximale de la curcumine."
"cannelle_culinaire","Cannelle de Ceylan","Doux, épicé, boisé, sucré","Le 'Miel à la Cannelle Bloom' : extraction à 40°C pour ne pas tuer les enzymes du miel. Sublime sur un yaourt ou un porridge du matin."
"cardamome_culinaire","Cardamome verte","Floral, citronné, eucalyptus, très puissant","La cardamome est très puissante. 5g suffisent pour 250ml de miel. Concassez les gousses juste avant l'extraction pour libérer les huiles essentielles."
"lavande_culinaire","Lavande (Angustifolia)","Floral, camphré, délicat","Le 'Sucre de Lavande Bloom' : fleurs séchées mixées avec du sucre bio (1:10). Laissez reposer 2 semaines. Sublime sur une crème brûlée."
"citronnelle_culinaire","Citronnelle","Citronné, frais, herbacé","La citronnelle est fibreuse. L'extraction à 45°C dans l'huile de coco capture le citronnellal sans l'amertume des tiges broyées."
"girofle_culinaire","Clou de girofle","Chaud, boisé, très puissant, anesthésiant","Le girofle contient de l'eugénol (anesthésiant). 3g suffisent pour 250ml de miel. Idéal pour apaiser un mal de gorge en suçant une cuillère de ce miel."
"lycium_barbarum","Goji","Sucré, légèrement acidulé, notes de datte","L'extraction biphasique BloomLab libère les caroténoïdes (peau) et les polysaccharides (énergie). Parfait pour un teint éclatant via l'alimentation."
"arctium_lappa","Bardane","Terreux, noisette, doux","La bardane est l'amie de la peau nette. Son extraction dans le vinaigre de riz crée une base de sauce délicieuse qui soutient le foie et purifie le teint."
"illicium_verum","Badiane (Anis étoilé)","Anisé puissant, réglissé, frais","L'anéthol de la badiane est très stable à 50°C. Utilisez l'huile en finition sur une soupe de potiron pour une dimension aromatique fascinante."
"ziziphus_jujuba","Jujube (Datte rouge)","Sucré, boisé, profond","Le jujube est le fruit de la sérénité. Son extraction prolongée dans le miel à 45°C permet de capturer son énergie calme pour les périodes de stress."
"vigna_angularis","Haricot Adzuki","Légumineux, noisette, légèrement sucré","Riche en saponines, l'adzuki extrait en sirop est une base parfaite pour des desserts qui ne surchargent pas le système lymphatique."
