plant_id,nom_commun,type_produit,categorie,peau,cible,conservation
"serum_reparateur_nuit","Sérum Réparateur Nuit — Barrière Cutanée","Sérum visage huileux","Visage","Sensible","Peaux sensibles, cicatrisation, réparation du microbiote cutané","6 mois à l'abri de la lumière et de la chaleur. Réfrigérateur après ouverture."
"elixir_croissance_capillaire","Élixir de Croissance & Cuir Chevelu — Follicule Actif","Huile capillaire leave-on","Cheveux","Toutes","Chute de cheveux, cuir chevelu inflammé, pellicules, fortification de la tige","6 mois à température ambiante, à l'abri de la lumière."
"huile_corps_drainante","Huile Corps Drainante & Fermeté — Silhouette","Huile de massage corps","Corps","Toutes","Cellulite, rétention d'eau, fermeté cutanée, drainage lymphatique","12 mois."
"nettoyant_botanique_doux","Huile Nettoyante Botanique — Pureté Douce","Huile lavante / Démaquillant","Visage","Sensible / Sèche","Nettoyage profond, démaquillage, respect du film hydrolipidique","9 mois."
"masque_eclat_hibiscus","Masque Éclat & Jeunesse — Hibiscus & Rose","Masque huileux / Soin minute","Visage","Toutes / Teint terne","Éclat du teint, antioxydant, lissage des ridules","6 mois."
"huile_massage_recuperation","Huile de Massage Récupération — Sport & Muscle","Huile de massage thérapeutique","Corps","Toutes","Douleurs musculaires, récupération après effort, drainage des toxines","12 mois."
"serum_anti_imperfections","Sérum Anti-Imperfections — Bardane & Purifié","Sérum visage ciblé","Visage","Grasse / Acnéique","Excès de sébum, imperfections, pores dilatés","6 mois."
"elixir_regard_frais","Élixir Regard Frais — Contour des Yeux","Sérum contour des yeux","Visage","Toutes","Cernes, poches, ridules de déshydratation","6 mois."
"baume_levres_calendula","Baume Lèvres Nourrissant — Calendula & Miel","Baume lèvres","Visage","Sèche / Gercée","Lèvres abîmées, protection contre le froid","9 mois."
"lotion_tonique_camomille","Lotion Tonique Apaisante — Camomille & Lavande","Lotion aqueuse","Visage","Sensible / Irritée","Apaisement après nettoyage, préparation au soin","3 mois au frais."
"huile_precieuse_rose","Huile Précieuse Régénérante — Rose Musquée & Argan","Huile visage luxe","Visage","Mûre / Fatiguée","Rides, fermeté, éclat du teint","12 mois."
"gommage_corps_sel_botanique","Gommage Corps Botanique — Sel & Algues","Exfoliant corps","Corps","Toutes","Exfoliation, détoxication, peau douce","6 mois."
"huile_jambes_legeres","Huile Jambes Légères — Vigne Rouge & Marron","Huile de soin circulatoire","Corps","Toutes","Jambes lourdes, varicosités, drainage","12 mois."
"masque_capillaire_nutrition","Masque Capillaire Nutrition — Avocat & Karité","Soin cheveux profond","Cheveux","Toutes","Cheveux secs, cassants, pointes abîmées","6 mois."
"baume_mains_karite","Baume Mains Protecteur — Karité & Glycérine","Baume mains","Corps","Sèche / Abîmée","Mains sèches, crevasses, protection quotidienne","12 mois."
"huile_demaquillante_yeux","Huile Démaquillante Yeux — Bleuet & Amande","Démaquillant yeux","Visage","Sensible","Démaquillage doux des yeux, soin des cils","9 mois."
"elixir_nuit_apaisant","Élixir de Nuit Apaisant — Mélisse & Valériane","Sérum nuit psycho-cutané","Visage","Toutes / Stressées","Peau fatiguée par le stress, détente nocturne","12 mois."
"serum_hydratation_profonde","Sérum Hydratation — Aloé & Hyaluronique","Sérum aqueux","Visage","Déshydratée","Manque d'eau, tiraillements","3 mois au frais."
"huile_barbe_visage","Huile de Barbe & Visage — Cèdre & Jojoba","Huile de soin homme","Visage","Toutes","Entretien barbe, peau dessous irritée","12 mois."
"masque_detox_argile","Masque Détox — Argile & Charbon","Masque poudre à activer","Visage","Mixte / Grasse","Détoxification, impuretés, pollution","12 mois (séparés)."
"lotion_capillaire_ortie","Lotion Tonique Capillaire — Ortie & Romarin","Lotion scalp","Cheveux","Toutes","Fortification, brillance, cuir chevelu sain","6 mois."
"soin_pieds_relaxant","Baume Pieds Relaxant — Menthe & Camphre","Baume pieds","Corps","Sèche","Pieds fatigués, échauffements","6 mois."
"dentifrice_remineralisant_coco_girofle","Dentifrice Reminéralisant & Pubbling Coco — Hygiène Buccale","Dentifrice solide / Macérat buccal","Visage","Toutes","Reminéralisation de l'émail, hygiène anti-plaque, santé des gencives, inflammation buccale","4 à 6 mois à l'abri de la lumière."
